Breed,Trait,Trait_Score
Entlebucher Mountain Dogs,Good With Other Dogs,5
Treeing Walker Coonhounds,Good With Other Dogs,5
Icelandic Sheepdogs,Good With Other Dogs,4
Wirehaired Vizslas,Good With Other Dogs,3
Pumik,Good With Other Dogs,3
Portuguese Podengo Pequenos,Good With Other Dogs,5
Spaniels (American Water),Good With Other Dogs,3
Retrievers (Curly-Coated),Good With Other Dogs,3
Spaniels (Field),Good With Other Dogs,4
Lowchen,Good With Other Dogs,3
Nederlandse Kooikerhondjes,Good With Other Dogs,3
Affenpinschers,Good With Other Dogs,3
Petits Bassets Griffons Vendeens,Good With Other Dogs,5
Finnish Lapphunds,Good With Other Dogs,3
Scottish Deerhounds,Good With Other Dogs,5
Plott Hounds,Good With Other Dogs,0
Norwegian Buhunds,Good With Other Dogs,3
Glen of Imaal Terriers,Good With Other Dogs,3
Setters (Irish Red and White),Good With Other Dogs,5
Ibizan Hounds,Good With Other Dogs,5
Spaniels (Sussex),Good With Other Dogs,3
Bergamasco Sheepdogs,Good With Other Dogs,3
Spaniels (Irish Water),Good With Other Dogs,3
Polish Lowland Sheepdogs,Good With Other Dogs,3
Otterhounds,Good With Other Dogs,3
Kuvaszok,Good With Other Dogs,3
Komondorok,Good With Other Dogs,2
Cirnechi dell’Etna,Good With Other Dogs,4
Pharaoh Hounds,Good With Other Dogs,5
Dandie Dinmont Terriers,Good With Other Dogs,3
Pyrenean Shepherds,Good With Other Dogs,3
Skye Terriers,Good With Other Dogs,3
Canaan Dogs,Good With Other Dogs,3
American English Coonhounds,Good With Other Dogs,5
Chinooks,Good With Other Dogs,5
Finnish Spitz,Good With Other Dogs,4
Grand Basset Griffon Vendeens,Good With Other Dogs,4
Sloughis,Good With Other Dogs,3
Harriers,Good With Other Dogs,5
Cesky Terriers,Good With Other Dogs,3
American Foxhounds,Good With Other Dogs,5
Azawakhs,Good With Other Dogs,3
English Foxhounds,Good With Other Dogs,5
Norwegian Lundehunds,Good With Other Dogs,3
Retrievers (Labrador),Shedding Level,4
French Bulldogs,Shedding Level,3
German Shepherd Dogs,Shedding Level,4
Retrievers (Golden),Shedding Level,4
Bulldogs,Shedding Level,3
Poodles,Shedding Level,1
Beagles,Shedding Level,3
Rottweilers,Shedding Level,3
Pointers (German 1haired),Shedding Level,3
Dachshunds,Shedding Level,2
Pembroke Welsh Corgis,Shedding Level,4
Australian Shepherds,Shedding Level,3
Yorkshire Terriers,Shedding Level,1
Boxers,Shedding Level,2
Great Danes,Shedding Level,3
Siberian Huskies,Shedding Level,4
Cavalier King Charles Spaniels,Shedding Level,2
Doberman Pinschers,Shedding Level,4
Miniature Schnauzers,Shedding Level,3
Shih Tzu,Shedding Level,1
Boston Terriers,Shedding Level,2
Bernese Mountain Dogs,Shedding Level,5
Pomeranians,Shedding Level,2
Havanese,Shedding Level,2
Cane Corso,Shedding Level,2
Spaniels (English Springer),Shedding Level,3
Shetland Sheepdogs,Shedding Level,3
Brittanys,Shedding Level,3
Pugs,Shedding Level,4
Spaniels (Cocker),Shedding Level,3
Miniature American Shepherds,Shedding Level,3
Border Collies,Shedding Level,3
Mastiffs,Shedding Level,3
Chihuahuas,Shedding Level,2
Vizslas,Shedding Level,3
Basset Hounds,Shedding Level,2
Belgian Malinois,Shedding Level,3
Maltese,Shedding Level,1
Weimaraners,Shedding Level,3
Collies,Shedding Level,3
Newfoundlands,Shedding Level,3
Rhodesian Ridgebacks,Shedding Level,3
Shiba Inu,Shedding Level,3
West Highland White Terriers,Shedding Level,3
Bichons Frises,Shedding Level,1
Bloodhounds,Shedding Level,3
Spaniels (English Cocker),Shedding Level,3
Akitas,Shedding Level,3
Portuguese Water Dogs,Shedding Level,2
Retrievers (Chesapeake Bay),Shedding Level,3
Dalmatians,Shedding Level,4
St. Bernards,Shedding Level,3
Papillons,Shedding Level,3
Australian Cattle Dogs,Shedding Level,3
Bullmastiffs,Shedding Level,3
Samoyeds,Shedding Level,3
Scottish Terriers,Shedding Level,2
Soft Coated Wheaten Terriers,Shedding Level,1
Whippets,Shedding Level,2
Pointers (German Wirehaired),Shedding Level,2
Chinese Shar-Pei,Shedding Level,3
Airedale Terriers,Shedding Level,1
Wirehaired Pointing Griffons,Shedding Level,3
Bull Terriers,Shedding Level,3
Alaskan Malamutes,Shedding Level,3
Cardigan Welsh Corgis,Shedding Level,3
Giant Schnauzers,Shedding Level,3
Old English Sheepdogs,Shedding Level,3
Italian Greyhounds,Shedding Level,3
Great Pyrenees,Shedding Level,3
Dogues de Bordeaux,Shedding Level,4
Russell Terriers,Shedding Level,3
Cairn Terriers,Shedding Level,2
Irish Wolfhounds,Shedding Level,3
Setters (Irish),Shedding Level,3
Greater Swiss Mountain Dogs,Shedding Level,3
Miniature Pinschers,Shedding Level,3
Lhasa Apsos,Shedding Level,1
Chinese Crested,Shedding Level,1
Coton de Tulear,Shedding Level,2
Staffordshire Bull Terriers,Shedding Level,2
American Staffordshire Terriers,Shedding Level,2
Rat Terriers,Shedding Level,3
Chow Chows,Shedding Level,3
Anatolian Shepherd Dogs,Shedding Level,3
Basenjis,Shedding Level,2
Spaniels (Boykin),Shedding Level,3
Lagotti Romagnoli,Shedding Level,1
Brussels Griffons,Shedding Level,3
Retrievers (Nova Scotia Duck Tolling),Shedding Level,3
Norwegian Elkhounds,Shedding Level,3
Standard Schnauzers,Shedding Level,1
Dogo Argentinos,Shedding Level,4
Bouviers des Flandres,Shedding Level,3
Pekingese,Shedding Level,3
Keeshonden,Shedding Level,3
Border Terriers,Shedding Level,2
Leonbergers,Shedding Level,4
Tibetan Terriers,Shedding Level,3
Neapolitan Mastiffs,Shedding Level,3
Setters (English),Shedding Level,3
Retrievers (Flat-Coated),Shedding Level,3
Borzois,Shedding Level,3
Fox Terriers (Wire),Shedding Level,2
Miniature Bull Terriers,Shedding Level,2
Belgian Tervuren,Shedding Level,3
Setters (Gordon),Shedding Level,3
Silky Terriers,Shedding Level,2
Norwich Terriers,Shedding Level,3
Spinoni Italiani,Shedding Level,3
Japanese Chin,Shedding Level,3
Welsh Terriers,Shedding Level,2
Toy Fox Terriers,Shedding Level,3
Schipperkes,Shedding Level,3
Parson Russell Terriers,Shedding Level,2
Pointers,Shedding Level,3
Belgian Sheepdogs,Shedding Level,3
Tibetan Spaniels,Shedding Level,3
American Eskimo Dogs,Shedding Level,3
Irish Terriers,Shedding Level,2
Beaucerons,Shedding Level,4
Afghan Hounds,Shedding Level,1
Boerboels,Shedding Level,3
Fox Terriers (Smooth),Shedding Level,3
Bearded Collies,Shedding Level,3
Black Russian Terriers,Shedding Level,3
Black and Tan Coonhounds,Shedding Level,3
Spaniels (Welsh Springer),Shedding Level,3
American Hairless Terriers,Shedding Level,1
Norfolk Terriers,Shedding Level,3
Xoloitzcuintli,Shedding Level,1
Manchester Terriers,Shedding Level,2
Kerry Blue Terriers,Shedding Level,1
Australian Terriers,Shedding Level,1
Spaniels (Clumber),Shedding Level,3
Lakeland Terriers,Shedding Level,2
Bluetick Coonhounds,Shedding Level,3
English Toy Spaniels,Shedding Level,3
German Pinschers,Shedding Level,3
Tibetan Mastiffs,Shedding Level,4
Bedlington Terriers,Shedding Level,1
Greyhounds,Shedding Level,2
Pulik,Shedding Level,1
Salukis,Shedding Level,2
Barbets,Shedding Level,1
Redbone Coonhounds,Shedding Level,3
Swedish Vallhunds,Shedding Level,4
Sealyham Terriers,Shedding Level,3
Spanish Water Dogs,Shedding Level,1
Briards,Shedding Level,1
Berger Picards,Shedding Level,3
Entlebucher Mountain Dogs,Shedding Level,3
Treeing Walker Coonhounds,Shedding Level,3
Icelandic Sheepdogs,Shedding Level,3
Wirehaired Vizslas,Shedding Level,3
Pumik,Shedding Level,1
Portuguese Podengo Pequenos,Shedding Level,3
Spaniels (American Water),Shedding Level,1
Retrievers (Curly-Coated),Shedding Level,2
Spaniels (Field),Shedding Level,3
Lowchen,Shedding Level,2
Nederlandse Kooikerhondjes,Shedding Level,3
Affenpinschers,Shedding Level,3
Petits Bassets Griffons Vendeens,Shedding Level,2
Finnish Lapphunds,Shedding Level,4
Scottish Deerhounds,Shedding Level,3
Plott Hounds,Shedding Level,0
Norwegian Buhunds,Shedding Level,3
Glen of Imaal Terriers,Shedding Level,2
Setters (Irish Red and White),Shedding Level,2
Ibizan Hounds,Shedding Level,2
Spaniels (Sussex),Shedding Level,3
Bergamasco Sheepdogs,Shedding Level,1
Spaniels (Irish Water),Shedding Level,1
Polish Lowland Sheepdogs,Shedding Level,2
Otterhounds,Shedding Level,2
Kuvaszok,Shedding Level,3
Komondorok,Shedding Level,1
Cirnechi dell’Etna,Shedding Level,1
Pharaoh Hounds,Shedding Level,3
Dandie Dinmont Terriers,Shedding Level,2
Pyrenean Shepherds,Shedding Level,3
Skye Terriers,Shedding Level,3
Canaan Dogs,Shedding Level,4
American English Coonhounds,Shedding Level,2
Chinooks,Shedding Level,3
Finnish Spitz,Shedding Level,3
Grand Basset Griffon Vendeens,Shedding Level,3
Sloughis,Shedding Level,3
Harriers,Shedding Level,3
Cesky Terriers,Shedding Level,2
American Foxhounds,Shedding Level,3
Azawakhs,Shedding Level,2
English Foxhounds,Shedding Level,3
Norwegian Lundehunds,Shedding Level,3
Retrievers (Labrador),Coat Grooming Frequency,2
French Bulldogs,Coat Grooming Frequency,1
German Shepherd Dogs,Coat Grooming Frequency,2
Retrievers (Golden),Coat Grooming Frequency,2
Bulldogs,Coat Grooming Frequency,3
Poodles,Coat Grooming Frequency,4
Beagles,Coat Grooming Frequency,2
Rottweilers,Coat Grooming Frequency,1
Pointers (German 1haired),Coat Grooming Frequency,2
Dachshunds,Coat Grooming Frequency,2
Pembroke Welsh Corgis,Coat Grooming Frequency,2
Australian Shepherds,Coat Grooming Frequency,2
Yorkshire Terriers,Coat Grooming Frequency,5
Boxers,Coat Grooming Frequency,2
Great Danes,Coat Grooming Frequency,1
Siberian Huskies,Coat Grooming Frequency,2
Cavalier King Charles Spaniels,Coat Grooming Frequency,2
Doberman Pinschers,Coat Grooming Frequency,1
Miniature Schnauzers,Coat Grooming Frequency,4
Shih Tzu,Coat Grooming Frequency,4
Boston Terriers,Coat Grooming Frequency,2
Bernese Mountain Dogs,Coat Grooming Frequency,3
Pomeranians,Coat Grooming Frequency,3
Havanese,Coat Grooming Frequency,3
Cane Corso,Coat Grooming Frequency,1
Spaniels (English Springer),Coat Grooming Frequency,2
Shetland Sheepdogs,Coat Grooming Frequency,3
Brittanys,Coat Grooming Frequency,3
Pugs,Coat Grooming Frequency,2
Spaniels (Cocker),Coat Grooming Frequency,4
Miniature American Shepherds,Coat Grooming Frequency,3
Border Collies,Coat Grooming Frequency,3
Mastiffs,Coat Grooming Frequency,1
Chihuahuas,Coat Grooming Frequency,1
Vizslas,Coat Grooming Frequency,2
Basset Hounds,Coat Grooming Frequency,3
Belgian Malinois,Coat Grooming Frequency,2
Maltese,Coat Grooming Frequency,4
Weimaraners,Coat Grooming Frequency,2
Collies,Coat Grooming Frequency,3
Newfoundlands,Coat Grooming Frequency,2
Rhodesian Ridgebacks,Coat Grooming Frequency,2
Shiba Inu,Coat Grooming Frequency,2
West Highland White Terriers,Coat Grooming Frequency,3
Bichons Frises,Coat Grooming Frequency,5
Bloodhounds,Coat Grooming Frequency,2
Spaniels (English Cocker),Coat Grooming Frequency,3
Akitas,Coat Grooming Frequency,3
Portuguese Water Dogs,Coat Grooming Frequency,4
Retrievers (Chesapeake Bay),Coat Grooming Frequency,3
Dalmatians,Coat Grooming Frequency,2
St. Bernards,Coat Grooming Frequency,2
Papillons,Coat Grooming Frequency,2
Australian Cattle Dogs,Coat Grooming Frequency,1
Bullmastiffs,Coat Grooming Frequency,1
Samoyeds,Coat Grooming Frequency,3
Scottish Terriers,Coat Grooming Frequency,3
Soft Coated Wheaten Terriers,Coat Grooming Frequency,4
Whippets,Coat Grooming Frequency,1
Pointers (German Wirehaired),Coat Grooming Frequency,2
Chinese Shar-Pei,Coat Grooming Frequency,1
Airedale Terriers,Coat Grooming Frequency,3
Wirehaired Pointing Griffons,Coat Grooming Frequency,2
Bull Terriers,Coat Grooming Frequency,2
Alaskan Malamutes,Coat Grooming Frequency,3
Cardigan Welsh Corgis,Coat Grooming Frequency,2
Giant Schnauzers,Coat Grooming Frequency,4
Old English Sheepdogs,Coat Grooming Frequency,4
Italian Greyhounds,Coat Grooming Frequency,1
Great Pyrenees,Coat Grooming Frequency,2
Dogues de Bordeaux,Coat Grooming Frequency,1
Russell Terriers,Coat Grooming Frequency,2
Cairn Terriers,Coat Grooming Frequency,2
Irish Wolfhounds,Coat Grooming Frequency,2
Setters (Irish),Coat Grooming Frequency,3
Greater Swiss Mountain Dogs,Coat Grooming Frequency,2
Miniature Pinschers,Coat Grooming Frequency,1
Lhasa Apsos,Coat Grooming Frequency,3
Chinese Crested,Coat Grooming Frequency,2
Coton de Tulear,Coat Grooming Frequency,4
Staffordshire Bull Terriers,Coat Grooming Frequency,2
American Staffordshire Terriers,Coat Grooming Frequency,1
Rat Terriers,Coat Grooming Frequency,2
Chow Chows,Coat Grooming Frequency,3
Anatolian Shepherd Dogs,Coat Grooming Frequency,2
Basenjis,Coat Grooming Frequency,1
Spaniels (Boykin),Coat Grooming Frequency,3
Lagotti Romagnoli,Coat Grooming Frequency,2
Brussels Griffons,Coat Grooming Frequency,3
Retrievers (Nova Scotia Duck Tolling),Coat Grooming Frequency,2
Norwegian Elkhounds,Coat Grooming Frequency,2
Standard Schnauzers,Coat Grooming Frequency,3
Dogo Argentinos,Coat Grooming Frequency,1
Bouviers des Flandres,Coat Grooming Frequency,4
Pekingese,Coat Grooming Frequency,3
Keeshonden,Coat Grooming Frequency,3
Border Terriers,Coat Grooming Frequency,2
Leonbergers,Coat Grooming Frequency,4
Tibetan Terriers,Coat Grooming Frequency,3
Neapolitan Mastiffs,Coat Grooming Frequency,2
Setters (English),Coat Grooming Frequency,3
Retrievers (Flat-Coated),Coat Grooming Frequency,2
Borzois,Coat Grooming Frequency,2
Fox Terriers (Wire),Coat Grooming Frequency,3
Miniature Bull Terriers,Coat Grooming Frequency,1
Belgian Tervuren,Coat Grooming Frequency,2
Setters (Gordon),Coat Grooming Frequency,2
Silky Terriers,Coat Grooming Frequency,3
Norwich Terriers,Coat Grooming Frequency,2
Spinoni Italiani,Coat Grooming Frequency,2
Japanese Chin,Coat Grooming Frequency,2
Welsh Terriers,Coat Grooming Frequency,3
Toy Fox Terriers,Coat Grooming Frequency,2
Schipperkes,Coat Grooming Frequency,2
Parson Russell Terriers,Coat Grooming Frequency,2
Pointers,Coat Grooming Frequency,2
Belgian Sheepdogs,Coat Grooming Frequency,2
Tibetan Spaniels,Coat Grooming Frequency,2
American Eskimo Dogs,Coat Grooming Frequency,3
Irish Terriers,Coat Grooming Frequency,1
Beaucerons,Coat Grooming Frequency,3
Afghan Hounds,Coat Grooming Frequency,4
Boerboels,Coat Grooming Frequency,2
Fox Terriers (Smooth),Coat Grooming Frequency,2
Bearded Collies,Coat Grooming Frequency,4
Black Russian Terriers,Coat Grooming Frequency,4
Black and Tan Coonhounds,Coat Grooming Frequency,2
Spaniels (Welsh Springer),Coat Grooming Frequency,2
American Hairless Terriers,Coat Grooming Frequency,1
Norfolk Terriers,Coat Grooming Frequency,2
Xoloitzcuintli,Coat Grooming Frequency,1
Manchester Terriers,Coat Grooming Frequency,2
Kerry Blue Terriers,Coat Grooming Frequency,3
Australian Terriers,Coat Grooming Frequency,2
Spaniels (Clumber),Coat Grooming Frequency,2
Lakeland Terriers,Coat Grooming Frequency,2
Bluetick Coonhounds,Coat Grooming Frequency,2
English Toy Spaniels,Coat Grooming Frequency,3
German Pinschers,Coat Grooming Frequency,1
Tibetan Mastiffs,Coat Grooming Frequency,3
Bedlington Terriers,Coat Grooming Frequency,3
Greyhounds,Coat Grooming Frequency,1
Pulik,Coat Grooming Frequency,5
Salukis,Coat Grooming Frequency,1
Barbets,Coat Grooming Frequency,3
Redbone Coonhounds,Coat Grooming Frequency,2
Swedish Vallhunds,Coat Grooming Frequency,2
Sealyham Terriers,Coat Grooming Frequency,3
Spanish Water Dogs,Coat Grooming Frequency,4
Briards,Coat Grooming Frequency,4
Berger Picards,Coat Grooming Frequency,1
Entlebucher Mountain Dogs,Coat Grooming Frequency,1
Treeing Walker Coonhounds,Coat Grooming Frequency,1
Icelandic Sheepdogs,Coat Grooming Frequency,2
Wirehaired Vizslas,Coat Grooming Frequency,1
Pumik,Coat Grooming Frequency,2
Portuguese Podengo Pequenos,Coat Grooming Frequency,2
Spaniels (American Water),Coat Grooming Frequency,3
Retrievers (Curly-Coated),Coat Grooming Frequency,1
Spaniels (Field),Coat Grooming Frequency,2
Lowchen,Coat Grooming Frequency,2
Nederlandse Kooikerhondjes,Coat Grooming Frequency,2
Affenpinschers,Coat Grooming Frequency,3
Petits Bassets Griffons Vendeens,Coat Grooming Frequency,2
Finnish Lapphunds,Coat Grooming Frequency,2
Scottish Deerhounds,Coat Grooming Frequency,1
Plott Hounds,Coat Grooming Frequency,0
Norwegian Buhunds,Coat Grooming Frequency,2
Glen of Imaal Terriers,Coat Grooming Frequency,3
Setters (Irish Red and White),Coat Grooming Frequency,2
Ibizan Hounds,Coat Grooming Frequency,1
Spaniels (Sussex),Coat Grooming Frequency,3
Bergamasco Sheepdogs,Coat Grooming Frequency,1
Spaniels (Irish Water),Coat Grooming Frequency,3
Polish Lowland Sheepdogs,Coat Grooming Frequency,4
Otterhounds,Coat Grooming Frequency,2
Kuvaszok,Coat Grooming Frequency,2
Komondorok,Coat Grooming Frequency,4
Cirnechi dell’Etna,Coat Grooming Frequency,1
Pharaoh Hounds,Coat Grooming Frequency,2
Dandie Dinmont Terriers,Coat Grooming Frequency,3
Pyrenean Shepherds,Coat Grooming Frequency,2
Skye Terriers,Coat Grooming Frequency,3
Canaan Dogs,Coat Grooming Frequency,2
American English Coonhounds,Coat Grooming Frequency,1
Chinooks,Coat Grooming Frequency,3
Finnish Spitz,Coat Grooming Frequency,2
Grand Basset Griffon Vendeens,Coat Grooming Frequency,2
Sloughis,Coat Grooming Frequency,1
Harriers,Coat Grooming Frequency,1
Cesky Terriers,Coat Grooming Frequency,2
American Foxhounds,Coat Grooming Frequency,1
Azawakhs,Coat Grooming Frequency,2
English Foxhounds,Coat Grooming Frequency,1
Norwegian Lundehunds,Coat Grooming Frequency,2
Retrievers (Labrador),Drooling Level,2
French Bulldogs,Drooling Level,3
German Shepherd Dogs,Drooling Level,2
Retrievers (Golden),Drooling Level,2
Bulldogs,Drooling Level,3
Poodles,Drooling Level,1
Beagles,Drooling Level,1
Rottweilers,Drooling Level,3
Pointers (German 1haired),Drooling Level,2
Dachshunds,Drooling Level,2
Pembroke Welsh Corgis,Drooling Level,1
Australian Shepherds,Drooling Level,1
Yorkshire Terriers,Drooling Level,1
Boxers,Drooling Level,3
Great Danes,Drooling Level,4
Siberian Huskies,Drooling Level,1
Cavalier King Charles Spaniels,Drooling Level,2
Doberman Pinschers,Drooling Level,2
Miniature Schnauzers,Drooling Level,2
Shih Tzu,Drooling Level,1
Boston Terriers,Drooling Level,1
Bernese Mountain Dogs,Drooling Level,3
Pomeranians,Drooling Level,1
Havanese,Drooling Level,1
Cane Corso,Drooling Level,3
Spaniels (English Springer),Drooling Level,3
Shetland Sheepdogs,Drooling Level,1
Brittanys,Drooling Level,1
Pugs,Drooling Level,1
Spaniels (Cocker),Drooling Level,2
Miniature American Shepherds,Drooling Level,2
Border Collies,Drooling Level,1
Mastiffs,Drooling Level,4
Chihuahuas,Drooling Level,1
Vizslas,Drooling Level,2
Basset Hounds,Drooling Level,4
Belgian Malinois,Drooling Level,1
Maltese,Drooling Level,1
Weimaraners,Drooling Level,2
Collies,Drooling Level,2
Newfoundlands,Drooling Level,5
Rhodesian Ridgebacks,Drooling Level,2
Shiba Inu,Drooling Level,1
West Highland White Terriers,Drooling Level,1
Bichons Frises,Drooling Level,1
Bloodhounds,Drooling Level,5
Spaniels (English Cocker),Drooling Level,2
Akitas,Drooling Level,1
Portuguese Water Dogs,Drooling Level,2
Retrievers (Chesapeake Bay),Drooling Level,2
Dalmatians,Drooling Level,2
St. Bernards,Drooling Level,5
Papillons,Drooling Level,1
Australian Cattle Dogs,Drooling Level,1
Bullmastiffs,Drooling Level,3
Samoyeds,Drooling Level,1
Scottish Terriers,Drooling Level,2
Soft Coated Wheaten Terriers,Drooling Level,2
Whippets,Drooling Level,1
Pointers (German Wirehaired),Drooling Level,2
Chinese Shar-Pei,Drooling Level,3
Airedale Terriers,Drooling Level,1
Wirehaired Pointing Griffons,Drooling Level,3
Bull Terriers,Drooling Level,1
Alaskan Malamutes,Drooling Level,1
Cardigan Welsh Corgis,Drooling Level,1
Giant Schnauzers,Drooling Level,2
Old English Sheepdogs,Drooling Level,3
Italian Greyhounds,Drooling Level,1
Great Pyrenees,Drooling Level,3
Dogues de Bordeaux,Drooling Level,5
Russell Terriers,Drooling Level,1
Cairn Terriers,Drooling Level,1
Irish Wolfhounds,Drooling Level,2
Setters (Irish),Drooling Level,2
Greater Swiss Mountain Dogs,Drooling Level,3
Miniature Pinschers,Drooling Level,1
Lhasa Apsos,Drooling Level,1
Chinese Crested,Drooling Level,1
Coton de Tulear,Drooling Level,1
Staffordshire Bull Terriers,Drooling Level,3
American Staffordshire Terriers,Drooling Level,1
Rat Terriers,Drooling Level,1
Chow Chows,Drooling Level,3
Anatolian Shepherd Dogs,Drooling Level,1
Basenjis,Drooling Level,1
Spaniels (Boykin),Drooling Level,1
Lagotti Romagnoli,Drooling Level,2
Brussels Griffons,Drooling Level,1
Retrievers (Nova Scotia Duck Tolling),Drooling Level,2
Norwegian Elkhounds,Drooling Level,2
Standard Schnauzers,Drooling Level,3
Dogo Argentinos,Drooling Level,3
Bouviers des Flandres,Drooling Level,2
Pekingese,Drooling Level,1
Keeshonden,Drooling Level,2
Border Terriers,Drooling Level,1
Leonbergers,Drooling Level,3
Tibetan Terriers,Drooling Level,2
Neapolitan Mastiffs,Drooling Level,5
Setters (English),Drooling Level,3
Retrievers (Flat-Coated),Drooling Level,2
Borzois,Drooling Level,1
Fox Terriers (Wire),Drooling Level,2
Miniature Bull Terriers,Drooling Level,2
Belgian Tervuren,Drooling Level,1
Setters (Gordon),Drooling Level,4
Silky Terriers,Drooling Level,1
Norwich Terriers,Drooling Level,1
Spinoni Italiani,Drooling Level,3
Japanese Chin,Drooling Level,1
Welsh Terriers,Drooling Level,2
Toy Fox Terriers,Drooling Level,1
Schipperkes,Drooling Level,1
Parson Russell Terriers,Drooling Level,1
Pointers,Drooling Level,2
Belgian Sheepdogs,Drooling Level,1
Tibetan Spaniels,Drooling Level,2
American Eskimo Dogs,Drooling Level,1
Irish Terriers,Drooling Level,1
Beaucerons,Drooling Level,1
Afghan Hounds,Drooling Level,1
Boerboels,Drooling Level,3
Fox Terriers (Smooth),Drooling Level,1
Bearded Collies,Drooling Level,1
Black Russian Terriers,Drooling Level,3
Black and Tan Coonhounds,Drooling Level,3
Spaniels (Welsh Springer),Drooling Level,2
American Hairless Terriers,Drooling Level,1
Norfolk Terriers,Drooling Level,1
Xoloitzcuintli,Drooling Level,1
Manchester Terriers,Drooling Level,1
Kerry Blue Terriers,Drooling Level,2
Australian Terriers,Drooling Level,1
Spaniels (Clumber),Drooling Level,4
Lakeland Terriers,Drooling Level,1
Bluetick Coonhounds,Drooling Level,2
English Toy Spaniels,Drooling Level,2
German Pinschers,Drooling Level,1
Tibetan Mastiffs,Drooling Level,3
Bedlington Terriers,Drooling Level,1
Greyhounds,Drooling Level,1
Pulik,Drooling Level,2
Salukis,Drooling Level,1
Barbets,Drooling Level,1
Redbone Coonhounds,Drooling Level,3
Swedish Vallhunds,Drooling Level,2
Sealyham Terriers,Drooling Level,1
Spanish Water Dogs,Drooling Level,2
Briards,Drooling Level,2
Berger Picards,Drooling Level,1
Entlebucher Mountain Dogs,Drooling Level,2
Treeing Walker Coonhounds,Drooling Level,3
Icelandic Sheepdogs,Drooling Level,2
Wirehaired Vizslas,Drooling Level,2
Pumik,Drooling Level,2
Portuguese Podengo Pequenos,Drooling Level,1
Spaniels (American Water),Drooling Level,1
Retrievers (Curly-Coated),Drooling Level,1
Spaniels (Field),Drooling Level,2
Lowchen,Drooling Level,1
Nederlandse Kooikerhondjes,Drooling Level,2
Affenpinschers,Drooling Level,1
Petits Bassets Griffons Vendeens,Drooling Level,2
Finnish Lapphunds,Drooling Level,2
Scottish Deerhounds,Drooling Level,1
Plott Hounds,Drooling Level,0
Norwegian Buhunds,Drooling Level,1
Glen of Imaal Terriers,Drooling Level,2
Setters (Irish Red and White),Drooling Level,2
Ibizan Hounds,Drooling Level,1
Spaniels (Sussex),Drooling Level,3
Bergamasco Sheepdogs,Drooling Level,2
Spaniels (Irish Water),Drooling Level,2
Polish Lowland Sheepdogs,Drooling Level,2
Otterhounds,Drooling Level,3
Kuvaszok,Drooling Level,2
Komondorok,Drooling Level,2
Cirnechi dell’Etna,Drooling Level,1
Pharaoh Hounds,Drooling Level,1
Dandie Dinmont Terriers,Drooling Level,1
Pyrenean Shepherds,Drooling Level,2
Skye Terriers,Drooling Level,1
Canaan Dogs,Drooling Level,1
American English Coonhounds,Drooling Level,1
Chinooks,Drooling Level,1
Finnish Spitz,Drooling Level,2
Grand Basset Griffon Vendeens,Drooling Level,2
Sloughis,Drooling Level,1
Harriers,Drooling Level,2
Cesky Terriers,Drooling Level,1
American Foxhounds,Drooling Level,1
Azawakhs,Drooling Level,1
English Foxhounds,Drooling Level,2
Norwegian Lundehunds,Drooling Level,1
Retrievers (Labrador),Coat Length,1
French Bulldogs,Coat Length,1
German Shepherd Dogs,Coat Length,3
Retrievers (Golden),Coat Length,3
Bulldogs,Coat Length,1
Poodles,Coat Length,5
Beagles,Coat Length,1
Rottweilers,Coat Length,1
Pointers (German 1haired),Coat Length,1
Dachshunds,Coat Length,1
Pembroke Welsh Corgis,Coat Length,1
Australian Shepherds,Coat Length,3
Yorkshire Terriers,Coat Length,5
Boxers,Coat Length,1
Great Danes,Coat Length,1
Siberian Huskies,Coat Length,3
Cavalier King Charles Spaniels,Coat Length,3
Doberman Pinschers,Coat Length,1
Miniature Schnauzers,Coat Length,3
Shih Tzu,Coat Length,5
Boston Terriers,Coat Length,1
Bernese Mountain Dogs,Coat Length,3
Pomeranians,Coat Length,5
Havanese,Coat Length,5
Cane Corso,Coat Length,1
Spaniels (English Springer),Coat Length,3
Shetland Sheepdogs,Coat Length,5
Brittanys,Coat Length,1
Pugs,Coat Length,1
Spaniels (Cocker),Coat Length,5
Miniature American Shepherds,Coat Length,3
Border Collies,Coat Length,3
Mastiffs,Coat Length,1
Chihuahuas,Coat Length,1
Vizslas,Coat Length,1
Basset Hounds,Coat Length,1
Belgian Malinois,Coat Length,1
Maltese,Coat Length,5
Weimaraners,Coat Length,1
Collies,Coat Length,1
Newfoundlands,Coat Length,3
Rhodesian Ridgebacks,Coat Length,1
Shiba Inu,Coat Length,1
West Highland White Terriers,Coat Length,3
Bichons Frises,Coat Length,5
Bloodhounds,Coat Length,1
Spaniels (English Cocker),Coat Length,3
Akitas,Coat Length,3
Portuguese Water Dogs,Coat Length,5
Retrievers (Chesapeake Bay),Coat Length,3
Dalmatians,Coat Length,1
St. Bernards,Coat Length,1
Papillons,Coat Length,3
Australian Cattle Dogs,Coat Length,1
Bullmastiffs,Coat Length,1
Samoyeds,Coat Length,5
Scottish Terriers,Coat Length,3
Soft Coated Wheaten Terriers,Coat Length,3
Whippets,Coat Length,1
Pointers (German Wirehaired),Coat Length,3
Chinese Shar-Pei,Coat Length,1
Airedale Terriers,Coat Length,1
Wirehaired Pointing Griffons,Coat Length,3
Bull Terriers,Coat Length,1
